period,trait,sides_ms,sides_df,ind_ms,ind_df,sxi_ms,sxi_df,me_ms,me_df,sides_f,sides_p,ind_f,ind_p,fa_me_f,fa_me_p,anova_bonf,anova_rank,anova_alpha,pct_me,n_reps,fa10_noME,fa10_df
Jomon,mbm1,1.022450000000003,1,2.4703642857142847,7,0.5793285714285716,7,0.3105062499999996,16,1.7648879244445586,0.22568787681136057,4.264185140433503,0.037423920576810106,1.8657549451213056,0.14277679835090173,0.002777777777777778,11,n.s.,53.597606835499136,2,0.13441116071428602,1.3389475024322792
Jomon,mbm2,0.012403124999999822,1,1.1157174107142858,7,0.0387531250000003,7,0.021853124999999935,16,0.3200548342875504,0.5892410147174942,28.79038556798393,1.2082384092706646e-4,1.7733447733447922,0.1621056082130504,0.0029411764705882353,12,n.s.,56.390613660188095,2,0.008450000000000181,1.1686601995536459
Jomon,mbp1,1.1849142857142847,1,0.2694404761904757,6,0.36884761904761904,6,0.25106428571428574,14,3.2124764388442744,0.1232531905960885,0.730492654083502,0.6436627298225934,1.4691361537075496,0.25830952850389843,0.003125,13,n.s.,68.06721061736684,2,0.05889166666666665,0.5104626430300927
Jomon,mlm1,1.232595164407831e-32,1,1.483878571428572,7,1.1170714285714272,7,0.7882187499999999,16,1.1034166060304146e-32,1,1.328364984973466,0.35870952988549704,1.4172099161196399,0.26526093680715473,0.0033333333333333335,14,n.s.,70.5611771852421,2,0.16442633928571365,0.49814259843332026
Jomon,xlp1,0.46580625000000153,1,0.11777291666666663,3,0.19212291666666712,3,0.13643125000000017,8,2.424522061614203,0.21731902378481704,0.6130081653455346,0.6512591752132189,1.4082031548246232,0.3097419799960619,0.0035714285714285718,15,n.s.,71.01248115898018,2,0.027845833333333472,0.21199397306588202
Jomon,xlm1,0.07022499999999901,1,0.6965750000000006,3,0.026174999999999785,3,0.019762500000000186,8,2.6829035339063836,0.19995640748978086,26.612225405921922,0.01157233838047756,1.3244781783680981,0.33248487047987146,0.0038461538461538464,16,n.s.,75.50143266475779,2,0.0032062499999997995,0.14834302474897462
Jomon,xbp2,0.0012800000000001998,1,1.0631074999999977,4,0.03756750000000037,4,0.03156000000000016,10,0.03407200372663039,0.8625344553589415,28.29859586078358,0.0034153203386813324,1.1903517110266217,0.3727911418461282,0.004166666666666667,17,n.s.,84.00878418846035,2,0.003003750000000107,0.07976890774573404
Jomon,xbc,0.0410062499999994,1,0.5636229166666652,3,0.03633958333333293,3,0.030668750000000102,8,1.1284182766725865,0.3660466370370521,15.509889353895677,0.024841592964970897,1.1849059167175973,0.3749049328754792,0.004545454545454546,18,n.s.,84.39488620076943,2,0.002835416666666415,0.05765625462868851
Jomon,mli2,0.16100833333333242,1,0.7190083333333355,2,0.1736583333333333,2,0.15859166666666638,6,0.9271558136186906,0.43720083739885796,4.140361821584542,0.19453883495145582,1.0950028900215456,0.3931887890712503,0.005,19,n.s.,91.3239598829117,2,0.007533333333333461,0.01177989721818117
Jomon,mbc,0.0308166666666667,1,1.1653999999999984,5,0.08323666666666676,5,0.07354999999999992,12,0.3702294661807697,0.5694584177408846,14.001041207801014,0.005793616650397705,1.131701790165423,0.39531187339200863,0.005555555555555556,20,n.s.,88.36250050058048,2,0.004843333333333422,0.051093443013039086
Jomon,mli1,0.009600000000000178,1,0.6842666666666666,5,0.1055299999999993,5,0.09464999999999997,12,0.09096939258978717,0.7750897838208843,6.484096149594154,0.03051172066551218,1.1149498151082866,0.4028345639194435,0.00625,21,n.s.,89.6901355064916,2,0.005439999999999667,0.03980485946609582
