period,trait,uid,consec_diff_idx,n_pool,consec_diff,group_mean,group_sd,test,p_vs_mean,p_vs_zero,bonf_mean,rank_mean,sig_mean,bonf_zero,rank_zero,sig_zero
Jomon,mbp2,Okinoharu_25,2,12,0.3200000000000003,0.005833333333333357,0.2705703851742342,dixon,0.5524428840964132,0.5524428840964132,7.246376811594203e-4,238,n.s.,7.575757575757576e-4,241,n.s.
Jomon,mbp2,Shirahama_1,1,12,-0.05000000000000071,0.005833333333333357,0.2705703851742342,dixon,0.14067317587019004,0.14067317587019004,2.808988764044944e-4,129,n.s.,2.777777777777778e-4,127,n.s.
Jomon,mbp2,Shirahama_1,2,12,0.10000000000000142,0.005833333333333357,0.2705703851742342,dixon,0.5524428840964132,0.5524428840964132,7.352941176470588e-4,239,n.s.,7.692307692307692e-4,242,n.s.
Jomon,mbp2,Wakimisaki_1,1,12,0.5300000000000002,0.005833333333333357,0.2705703851742342,dixon,0.5524428840964132,0.5524428840964132,7.042253521126761e-4,236,n.s.,7.352941176470588e-4,239,n.s.
Jomon,mbp2,Wakimisaki_1,2,12,-0.5199999999999996,0.005833333333333357,0.2705703851742342,dixon,0.14067317587019004,0.14067317587019004,2.73224043715847e-4,124,n.s.,2.702702702702703e-4,122,n.s.
Jomon,mbp2,Wakimisaki_2,1,12,-0.08999999999999986,0.005833333333333357,0.2705703851742342,dixon,0.14067317587019004,0.14067317587019004,2.777777777777778e-4,127,n.s.,2.747252747252747e-4,125,n.s.
Jomon,mbp2,Wakimisaki_2,2,12,0.1299999999999999,0.005833333333333357,0.2705703851742342,dixon,0.5524428840964132,0.5524428840964132,7.142857142857143e-4,237,n.s.,7.462686567164179e-4,240,n.s.
Jomon,mbp2,Wakimisaki_5,1,12,-0.08000000000000007,0.005833333333333357,0.2705703851742342,dixon,0.14067317587019004,0.14067317587019004,2.747252747252747e-4,125,n.s.,2.717391304347826e-4,123,n.s.
Jomon,mbp2,Wakimisaki_5,2,12,-0.20000000000000107,0.005833333333333357,0.2705703851742342,dixon,0.14067317587019004,0.14067317587019004,2.7624309392265195e-4,126,n.s.,2.73224043715847e-4,124,n.s.
Jomon,mlc,Fukahori_2001-2,1,12,-0.020000000000000462,-0.10166666666666672,0.3691472564840445,dixon,0,0.8572458272373753,1.7605633802816902e-4,23,*,0.0020833333333333333,283,n.s.
Jomon,mlc,Fukahori_2001-2,2,12,0.14999999999999947,-0.10166666666666672,0.3691472564840445,dixon,0,0,1.76678445229682e-4,24,*,1.724137931034483e-4,17,*
Jomon,mlc,Okinoharu_21,1,12,0.040000000000000036,-0.10166666666666672,0.3691472564840445,dixon,0,0,1.7985611510791367e-4,29,*,1.7482517482517483e-4,21,*
Jomon,mlc,Okinoharu_21,2,12,0.010000000000000675,-0.10166666666666672,0.3691472564840445,dixon,0,0,1.805054151624549e-4,30,*,1.7543859649122808e-4,22,*
Jomon,mlc,Okinoharu_25,1,12,0.08999999999999986,-0.10166666666666672,0.3691472564840445,dixon,0,0,1.7857142857142857e-4,27,*,1.7421602787456446e-4,20,*
Jomon,mlc,Okinoharu_25,2,12,-0.5,-0.10166666666666672,0.3691472564840445,dixon,0.8572458272373753,0.8572458272373753,0.0035714285714285718,293,n.s.,0.0025,287,n.s.
Jomon,mlc,Shirahama_1,1,12,-0.1299999999999999,-0.10166666666666672,0.3691472564840445,dixon,0.8572458272373753,0.8572458272373753,0.0038461538461538464,294,n.s.,0.002631578947368421,288,n.s.
Jomon,mlc,Shirahama_1,2,12,-0.08999999999999986,-0.10166666666666672,0.3691472564840445,dixon,0,0.8572458272373753,1.7921146953405018e-4,28,*,0.002173913043478261,284,n.s.
Jomon,mlc,Wakimisaki_2,1,12,0.0699999999999994,-0.10166666666666672,0.3691472564840445,dixon,0,0,1.7793594306049823e-4,26,*,1.7361111111111112e-4,19,*
Jomon,mlc,Wakimisaki_2,2,12,-0.1200000000000001,-0.10166666666666672,0.3691472564840445,dixon,0.8572458272373753,0.8572458272373753,0.0033333333333333335,292,n.s.,0.002380952380952381,286,n.s.
Jomon,mlc,Wakimisaki_5,1,12,-1.08,-0.10166666666666672,0.3691472564840445,dixon,0.8572458272373753,0.8572458272373753,0.003125,291,n.s.,0.002272727272727273,285,n.s.
Jomon,mlc,Wakimisaki_5,2,12,0.3600000000000003,-0.10166666666666672,0.3691472564840445,dixon,0,0,1.773049645390071e-4,25,*,1.730103806228374e-4,18,*
Jomon,mli1,Okinoharu_21,1,12,0.1999999999999993,0.16333333333333333,0.421195988354662,dixon,0,0,1.8248175182481753e-4,33,*,1.773049645390071e-4,25,*
Jomon,mli1,Okinoharu_21,2,12,0.13999999999999968,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0,0.0017857142857142859,279,n.s.,2.092050209205021e-4,68,*
Jomon,mli1,Okinoharu_22,1,12,0.0699999999999994,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0,0.001851851851851852,280,n.s.,2.100840336134454e-4,69,*
Jomon,mli1,Okinoharu_22,2,12,-0.02999999999999936,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0.7172755344711,0.0019230769230769232,281,n.s.,0.0015151515151515152,274,n.s.
Jomon,mli1,Okinoharu_25,1,12,0.13000000000000078,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0,0.0015151515151515152,274,n.s.,2.066115702479339e-4,65,*
Jomon,mli1,Okinoharu_25,2,12,0.16000000000000014,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0,0.0015625,275,n.s.,2.0746887966804981e-4,66,*
Jomon,mli1,Okinoharu_28,1,12,0.3799999999999999,0.16333333333333333,0.421195988354662,dixon,0,0,1.8181818181818183e-4,32,*,1.76678445229682e-4,24,*
Jomon,mli1,Okinoharu_28,2,12,0.040000000000000036,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0,0.001724137931034483,278,n.s.,2.0833333333333335e-4,67,*
Jomon,mli1,Shirahama_1,1,12,-0.20999999999999996,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0.7172755344711,0.0016129032258064516,276,n.s.,0.0014285714285714286,272,n.s.
Jomon,mli1,Shirahama_1,2,12,-0.2600000000000007,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0.7172755344711,0.0016666666666666668,277,n.s.,0.0014705882352941176,273,n.s.
Jomon,mli1,Wakimisaki_5,1,12,-0.03999999999999915,0.16333333333333333,0.421195988354662,dixon,0.7172755344711,0.7172755344711,0.0014705882352941176,273,n.s.,0.001388888888888889,271,n.s.
Jomon,mli1,Wakimisaki_5,2,12,1.38,0.16333333333333333,0.421195988354662,dixon,0,0,1.8115942028985507e-4,31,*,1.7605633802816902e-4,23,*
Jomon,mli2,Okinoharu_25,1,6,-0.08000000000000007,-0.0650000000000001,0.6128213442758009,dixon,0.2897619423068001,0.2897619423068001,4.032258064516129e-4,183,n.s.,3.875968992248062e-4,178,n.s.
Jomon,mli2,Okinoharu_25,2,6,-0.5,-0.0650000000000001,0.6128213442758009,dixon,0.2897619423068001,0.2897619423068001,4.065040650406504e-4,184,n.s.,3.90625e-4,179,n.s.
Jomon,mli2,Shirahama_1,1,6,-0.46999999999999975,-0.0650000000000001,0.6128213442758009,dixon,0.2897619423068001,0.2897619423068001,4.098360655737705e-4,185,n.s.,3.9370078740157485e-4,180,n.s.
Jomon,mli2,Shirahama_1,2,6,-0.5899999999999999,-0.0650000000000001,0.6128213442758009,dixon,0.2897619423068001,0.2897619423068001,4.132231404958678e-4,186,n.s.,3.968253968253968e-4,181,n.s.
Jomon,mli2,Wakimisaki_5,1,6,0.23999999999999932,-0.0650000000000001,0.6128213442758009,dixon,0.20120954170173128,0.20120954170173128,3.4013605442176874e-4,160,n.s.,3.225806451612903e-4,152,n.s.
Jomon,mli2,Wakimisaki_5,2,6,1.0099999999999998,-0.0650000000000001,0.6128213442758009,dixon,0.20120954170173128,0.20120954170173128,3.4246575342465754e-4,161,n.s.,3.246753246753247e-4,153,n.s.
Jomon,mlm1,Okinoharu_21,1,16,0.019999999999999574,-0.45,1.2105921416122498,dixon,0,0,1.7482517482517483e-4,21,*,1.718213058419244e-4,16,*
Jomon,mlm1,Okinoharu_21,2,16,-0.370000000000001,-0.45,1.2105921416122498,dixon,0,0.5486033451817243,1.7543859649122808e-4,22,*,7.042253521126761e-4,236,n.s.
Jomon,mlm1,Okinoharu_24,1,16,-0.019999999999999574,-0.45,1.2105921416122498,dixon,0,0.5486033451817243,1.7361111111111112e-4,19,*,6.944444444444445e-4,235,n.s.
Jomon,mlm1,Okinoharu_24,2,16,0.009999999999999787,-0.45,1.2105921416122498,dixon,0,0,1.7421602787456446e-4,20,*,1.7123287671232877e-4,15,*
Jomon,mlm1,Okinoharu_25,1,16,0.08000000000000007,-0.45,1.2105921416122498,dixon,0,0,1.6949152542372882e-4,12,*,1.6891891891891893e-4,11,*
Jomon,mlm1,Okinoharu_25,2,16,-3.2800000000000002,-0.45,1.2105921416122498,dixon,0.5486033451817243,0.5486033451817243,6.944444444444445e-4,235,n.s.,7.246376811594203e-4,238,n.s.
Jomon,mlm1,Okinoharu_28,1,16,-0.2599999999999998,-0.45,1.2105921416122498,dixon,0,0.5486033451817243,1.7123287671232877e-4,15,*,6.666666666666668e-4,232,n.s.
